"Source";"Target";"weight";"first_year";"last_year";"Fryslân";"Gelderland";"Limburg";"Noord-Holland";"Overijssel";"UGV";"Zuid-Holland";"Noord-Brabant";"Drenthe";"Groningen";"Zeeland";"Flevoland";"frac_Fryslân";"frac_Gelderland";"frac_Limburg";"frac_Noord-Holland";"frac_Overijssel";"frac_UGV";"frac_Zuid-Holland";"frac_Noord-Brabant";"frac_Drenthe";"frac_Groningen";"frac_Zeeland";"frac_Flevoland"
"A23L";"D21H";6;"2013";"2024";0;1;0;0;0;0;2;1;0;2;0;0;0;0.166666666666667;0;0;0;0;0.333333333333333;0.166666666666667;0;0.333333333333333;0;0
"A23L";"E03C";1;"2023";"2023";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"A23L";"F01C";4;"2018";"2024";0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"F04C";4;"2018";"2024";0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"F16C";4;"2018";"2023";0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"F16J";1;"2021";"2021";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"F23M";1;"2022";"2022";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"F24C";16;"2013";"2024";0;0;0;0;0;1;0;15;0;0;0;0;0;0;0;0;0;0.0625;0;0.9375;0;0;0;0
"A23L";"F24H";2;"2022";"2023";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"A23L";"F25B";1;"2024";"2024";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"A23L";"F25D";13;"2014";"2024";1;1;0;2;0;1;2;6;0;0;0;0;0.0769230769230769;0.0769230769230769;0;0.153846153846154;0;0.0769230769230769;0.153846153846154;0.461538461538462;0;0;0;0
"A23L";"F26B";6;"2014";"2023";0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0.666666666666667;0.166666666666667;0.166666666666667;0;0;0;0
"A23L";"F27B";3;"2018";"2023";0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"F28D";4;"2014";"2024";0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0.25;0;0;0.25;0.5;0;0;0;0
"A23L";"F28F";2;"2021";"2024";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"G01F";3;"2019";"2024";0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0.333333333333333;0.666666666666667;0;0;0;0
"A23L";"G01G";2;"2020";"2024";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0.5;0;0.5;0;0;0;0
"A23L";"G01J";2;"2019";"2023";0;1;0;0;0;0;0;1;0;0;0;0;0;0.5;0;0;0;0;0;0.5;0;0;0;0
"A23L";"G01K";2;"2020";"2023";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"G01N";40;"2013";"2024";0;5;0;0;0;1;7;26;0;0;0;1;0;0.125;0;0;0;0.025;0.175;0.65;0;0;0;0.025
"A23L";"G05B";4;"2018";"2024";0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"G05D";4;"2015";"2021";0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0.25;0;0.75;0;0;0;0
"A23L";"G06F";5;"2015";"2020";0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"G06Q";7;"2017";"2023";0;0;0;2;0;1;0;4;0;0;0;0;0;0;0;0.285714285714286;0;0.142857142857143;0;0.571428571428571;0;0;0;0
"A23L";"G06T";2;"2023";"2023";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"G06V";2;"2023";"2023";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"G07F";6;"2016";"2022";0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0.333333333333333;0;0.666666666666667;0;0;0;0
"A23L";"G09B";7;"2016";"2022";0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0.142857142857143;0.857142857142857;0;0;0;0
"A23L";"G10L";1;"2020";"2020";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"G16B";1;"2024";"2024";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"A23L";"G16H";13;"2018";"2024";0;0;0;0;0;2;0;11;0;0;0;0;0;0;0;0;0;0.153846153846154;0;0.846153846153846;0;0;0;0
"A23L";"H01S";1;"2019";"2019";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"A23L";"H04Q";1;"2015";"2015";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"A23L";"H05B";54;"2013";"2024";0;9;5;0;3;3;1;31;0;0;0;2;0;0.166666666666667;0.0925925925925926;0;0.0555555555555556;0.0555555555555556;0.0185185185185185;0.574074074074074;0;0;0;0.037037037037037
"A23N";"A23P";7;"2018";"2024";2;1;1;0;0;1;0;2;0;0;0;0;0.285714285714286;0.142857142857143;0.142857142857143;0;0;0.142857142857143;0;0.285714285714286;0;0;0;0
"A23N";"A47J";62;"2014";"2024";1;0;2;2;1;0;0;55;0;0;1;0;0.0161290322580645;0;0.032258064516129;0.032258064516129;0.0161290322580645;0;0;0.887096774193548;0;0;0.0161290322580645;0
"A23N";"A61L";1;"2024";"2024";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"A23N";"B01D";2;"2017";"2021";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23N";"B01F";3;"2021";"2024";0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"A23N";"B02C";4;"2016";"2020";0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23N";"B03B";1;"2023";"2023";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"A23N";"B04B";5;"2016";"2024";0;0;3;0;0;0;0;2;0;0;0;0;0;0;0.6;0;0;0;0;0.4;0;0;0;0
"A23N";"B07B";2;"2019";"2020";1;0;0;0;0;0;0;1;0;0;0;0;0.5;0;0;0;0;0;0;0.5;0;0;0;0
"A23N";"B26D";5;"2014";"2019";0;0;1;0;0;0;0;4;0;0;0;0;0;0;0.2;0;0;0;0;0.8;0;0;0;0
"A23N";"B30B";4;"2016";"2021";0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23N";"B60G";1;"2014";"2014";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"A23N";"B62D";1;"2014";"2014";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"A23N";"B65B";1;"2015";"2015";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"A23N";"B65D";2;"2017";"2020";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23N";"B65G";6;"2015";"2024";0;2;0;0;0;0;2;1;0;0;0;1;0;0.333333333333333;0;0;0;0;0.333333333333333;0.166666666666667;0;0;0;0.166666666666667
